Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Frank Elegar,2008,NA,79.25,80.75,87.25,106,37.5,33.5,210,4.5,NA,NA,11,11.86,3.17
Caswell Cyrus,2000,NA,79.75,,86,107.5,37.5,33.5,220.5,NA,NA,NA,18,12.12,3.16
Fred Jones,2002,14,74.25,NA,84,100,37.5,33.5,218,NA,NA,NA,NA,11.12,3.13
John Collins,2017,19,80.25,81.5,83.25,106.5,37.5,33,225.2,5.4,9,10,15,11.66,3.27
Jerry Holman,2003,NA,80.75,,87.25,109.5,37.5,33,232,6,NA,NA,11,11.54,3.24
A.J. Guyton,2000,32,72.75,NA,75.75,97.5,37.5,33,175,NA,NA,NA,9,10.55,3.22
Cordell Henry,2002,NA,68,,73,92,37.5,33,155,NA,NA,NA,1,11.3,3.04
Joakim Noah,2007,9,82,84,85.25,106.5,37.5,32.5,223,4.8,NA,NA,12,11.79,3.47
Rolan Roberts,2002,NA,77.75,,85,105.5,37.5,32.5,241,NA,NA,NA,16,11.36,3.33
Earl Watson,2001,39,72,NA,78.75,97,37.5,32.5,184,4,NA,NA,4,10.97,3.19
Aaron Miles,2005,NA,72,73.5,75.5,94,37.5,32,174.6,NA,NA,NA,7,10.69,3.22
Tyus Battle,2018,NA,77,78.75,81,102,37.5,32,200.2,4,8.5,9.25,9,11.04,3.07
Rasual Butler,2002,52,78.75,NA,84,105.5,37.5,31.5,198,NA,NA,NA,10,11.54,3.29
Mardy Collins,2006,29,76.25,77.5,82,103,37.5,31.5,224,10,NA,NA,9,12,3.27
Aubrey Reese,2000,NA,70.75,,77.5,94.5,37.5,31.5,189,NA,NA,NA,14,11.13,3.25
Ryan Humphrey,2002,19,78,NA,84,104.5,37.5,31.5,223,NA,NA,NA,13,11.75,3.2
Ben Gordon,2004,3,73,74.25,80.5,99,37.5,31.5,192,5.3,NA,NA,12,11.28,3.19
Tobias Harris,2011,19,78.5,79.75,83,103.5,37.5,31.5,222.8,8.4,8.75,9,12,10.96,3.17
Avery Bradley,2010,19,74,75.25,79.25,98.5,37.5,31.5,180.4,4,8.25,9.5,2,11.47,3.14
Reyshawn Terry,2007,44,78.75,79.5,82,103.5,37.5,31,222,8.9,NA,NA,18,11.76,3.26
Dillon Brooks,2017,45,77,78,78,100.5,37.5,31,220.2,7.5,8.25,9.25,16,11.14,3.21
Chris Singleton,2011,18,79.75,81,85,103.5,37.5,30.5,230.2,7.4,9.25,10,15,11.33,3.09
Julius Doc Robinson,2000,NA,72,,75.75,95.5,37.5,30,184,NA,NA,NA,0,12.54,3.41
Justin Hamilton,2003,NA,75,,83,103,37.5,30,217,8,NA,NA,17,11.18,3.18
Luke Babbitt,2010,16,79.5,80.75,83.25,104.5,37.5,29.5,217.8,5.6,8.5,10,15,10.98,3.4
Marcus Hatten,2003,NA,72.75,,78.25,98,37.5,29.5,163,4,NA,NA,7,11.5,3.15
Darius Washington,2006,NA,71.5,73,76,96,37.5,29,195,9.7,NA,NA,9,10.71,3.26
Brandon Knight,2011,8,73.5,75.25,78.75,98.5,37.5,29,176.8,4.2,8.25,9.5,10,10.74,3.07
Jamaal Tinsley,2001,27,72.75,NA,79.5,97.5,37.5,28,199,13.6,NA,NA,1,11.96,3.2
Thaddeus Young,2007,12,77.75,79.5,83.5,106,37,34.5,210,4.9,NA,NA,13,11.06,3.19
Donald Little,2003,NA,81.5,,87,97,37,33,229,7.3,NA,NA,18,11.18,3.2
Andrew Goudelock,2011,46,73.25,74.75,76.25,96.5,37,32.5,197.6,9.9,8.25,9.25,4,10.33,3.1
Damone Brown,2001,36,80.25,NA,83.75,104.5,37,32,202,6.7,NA,NA,6,11.81,3.27
Chris Quinn,2006,NA,72.5,73.5,77,94,37,32,175,5.9,NA,NA,7,11.25,3.25
Martin Rancik,2001,NA,80.75,,80,102.5,37,32,230,8,NA,NA,14,10.77,3.19
Wesley Johnson,2010,4,78.25,79.25,85,106,37,32,206.4,4.6,9,9.5,16,11.43,3.14
Jeremy Pargo,2008,NA,72.5,73.5,77,96,37,32,208,7.6,NA,NA,7,10.65,3.07
Michael Southhall,2006,NA,81.5,82.25,88.25,107.5,37,31.5,241,7.9,NA,NA,2,12.29,3.51
Isaiah Hicks,2017,NA,79.25,80.5,84.5,105,37,31.5,233.4,7.7,8.75,9.75,11,12.31,3.36
Anthony Roberson,2005,NA,72.75,74.5,74.75,95,37,31.5,178.8,NA,NA,NA,14,11.17,3.19
James Harden,2009,3,76,77.25,82.75,103.5,37,31.5,222,10.1,NA,NA,17,11.1,3.13
Devonte Graham,2018,NA,72.25,73.5,78.25,96,37,31,186.4,4.8,8.5,9.5,14,11.28,3.21
Rawle Marshall,2005,NA,76.5,77.75,85,104,37,30.5,186.6,NA,NA,NA,7,11.64,3.21
Devin Harris,2004,5,73.75,75,79.5,98.5,37,30.5,170,5.3,NA,NA,5,11.03,3.19
Terrence Williams,2009,11,77,78.25,81,103.5,37,30.5,213.2,5.1,NA,NA,9,11.15,3.18
Sviatoslav Mykhailiuk,2018,NA,78.5,79.75,76.75,100,37,30.5,211.6,8.45,8.25,9.5,4,11.25,3.15
V.J. Beachem,2017,NA,78.25,80,82.25,104.5,37,30,193.4,6.8,8.5,9,11,11.18,3.26
Brandon Armstrong,2001,23,75.5,NA,81.5,99.5,37,30,188,9.3,NA,NA,6,10.91,3.2
Tyler Honeycutt,2011,35,78.75,80.25,81,105,37,30,186.8,5.3,8.5,9.5,NA,11.68,3.07
Jalen Brunson,2018,33,73,74.25,76,96,37,29,198.4,6.7,8.25,9.25,7,10.59,3.15
Sharrod Ford,2005,NA,79.25,80.25,85.5,106,37,28.5,212.8,NA,NA,NA,9,11.92,3.2
Jodie Meeks,2009,41,75,76,76.5,98,37,28.5,211.4,8,NA,NA,14,10.96,3.1
Curtis Withers,2006,NA,78,78.5,82,101,36.5,35,227,5,NA,NA,14,11.54,3.1
Alton Ford,2001,50,80.25,NA,82.5,102.5,36.5,34.5,271,8,NA,NA,21,11.7,3.16
LaVell Blanchard,2003,NA,78,,78,101.5,36.5,33.5,205,11.7,NA,NA,12,11.64,3.38
Lavor Postell,2000,39,76.5,NA,80.5,101.5,36.5,33.5,205,NA,NA,NA,17,11.79,3.3
Marcus Haislip,2002,13,80.5,NA,84,107,36.5,33.5,221,NA,NA,NA,8,11.35,3.21
Eddie Basden,2005,NA,76.25,77.5,82.25,101,36.5,33,210,NA,NA,NA,14,10.52,3.21
Zach Marbury,2001,NA,73.25,,75.5,96.5,36.5,33,183,6.7,NA,NA,0,11.53,3.1
